sa2_name,sa2_code,sa3_name,sa3_code,sa4_name,sa4_code,city_name,city_code,state_name,state_code,change_rate_no_adapt_SSP585_2090_2099,change_rate_no_adapt_SSP585_2050_2059,change_rate_adapt_SSP585_2090_2099,change_rate_adapt_SSP585_2050_2059,change_rate_no_adapt_SSP370_2090_2099,change_rate_no_adapt_SSP370_2050_2059,change_rate_adapt_SSP370_2090_2099,change_rate_adapt_SSP370_2050_2059,change_rate_no_adapt_SSP245_2090_2099,change_rate_no_adapt_SSP245_2050_2059,change_rate_adapt_SSP245_2090_2099,change_rate_adapt_SSP245_2050_2059,change_rate_no_adapt_SSP126_2090_2099,change_rate_no_adapt_SSP126_2050_2059,change_rate_adapt_SSP126_2090_2099,change_rate_adapt_SSP126_2050_2059
Braidwood,101021007,Queanbeyan,10102,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,844.9646324,122.1644135,27.80563915,19.18940989,559.2432486,111.0224332,138.2949685,30.56683211,190.9623397,107.6057202,32.97030871,-0.624082859,178.6134735,81.31762487,103.7543638,12.64019153
Karabar,101021008,Queanbeyan,10102,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,970.3922308,126.9951662,22.05617904,21.24007587,747.8851712,152.9902575,113.8942806,26.66750263,216.9962808,103.689251,6.860156017,17.39454058,137.3920176,75.84265662,52.54502175,22.47104406
Queanbeyan,101021009,Queanbeyan,10102,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,970.3922308,126.9951662,22.05617904,21.24007587,747.8851712,152.9902575,113.8942806,26.66750263,216.9962808,103.689251,-3.017321222,17.39454058,137.3920176,75.84265662,52.54502175,22.47104406
Queanbeyan - East,101021010,Queanbeyan,10102,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1002.56306,146.1724655,37.98758241,27.14605968,759.128008,167.6818875,109.1038752,29.87084638,196.7638119,112.3433138,12.80164102,13.43639968,133.413823,72.18999966,56.05798197,25.29143047
Queanbeyan Region,101021011,Queanbeyan,10102,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1029.902548,160.3499441,31.2298011,30.35236042,698.6284199,151.0232481,109.0444842,29.83395967,175.2759076,79.82848392,20.91203096,12.1067799,137.5368993,75.62544507,52.35658886,7.28084288
Queanbeyan West - Jerrabomberra,101021012,Queanbeyan,10102,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,970.3922308,126.9951662,22.05617904,21.24007587,747.8851712,152.9902575,113.8942806,26.66750263,216.9962808,103.689251,-3.017321222,17.39454058,137.3920176,75.84265662,52.54502175,22.47104406
Bombala,101031013,Snowy Mountains,10103,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,796.603574,108.2485081,8.045573302,-13.60764481,707.7274099,159.6326315,59.95501823,49.57287913,117.3001967,66.35886109,-2.415680476,39.36507634,127.7947586,25.59190766,35.14750373,-16.39342153
Cooma,101031014,Snowy Mountains,10103,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,779.5230486,97.15300641,32.56059271,-1.244309522,670.2273105,130.1982223,76.24450163,58.98369748,196.8903742,131.4110798,9.997038197,59.31174295,161.9468438,63.1995957,71.52336985,-26.38251142
Cooma Region,101031015,Snowy Mountains,10103,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,842.1807405,83.00303209,34.25474762,0.017810951,670.006957,124.454964,90.40272322,47.11476812,191.3082064,110.8861027,14.49415797,42.48916855,162.2179645,62.72388319,50.9042223,-18.10544086
Jindabyne - Berridale,101031016,Snowy Mountains,10103,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,867.8390776,122.606775,16.39353246,2.368749489,779.8015647,157.6918232,95.08695284,34.00857896,124.5211705,65.53287419,7.261383695,41.4893302,183.2712645,47.1761213,71.45480494,-10.09850354
Batemans Bay,101041017,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1192.093751,143.9123533,26.91867799,-21.82594885,919.3080676,170.4967872,86.68818548,44.83999387,273.5943081,145.4528495,24.04793421,27.06027595,225.8339863,66.04381271,73.21035782,-3.506761518
Batemans Bay - South,101041018,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1308.008129,174.9293736,46.1784288,-6.138956751,945.3325826,166.3109377,63.05296506,25.73926687,294.2725447,167.0606477,-1.431863824,33.91967393,218.0625022,79.61686156,91.13091524,-5.808227002
Bega - Tathra,101041019,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1231.493331,175.2191599,17.74117843,-40.06463536,1128.863233,230.7889302,35.60883657,28.3296758,256.0466588,116.3359124,-11.11724481,25.47368827,216.9598727,64.42416185,69.98632746,9.483191034
Bega-Eden Hinterland,101041020,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1110.523557,152.8958982,19.45604526,-30.66742165,1075.093451,239.5404432,21.33171345,33.68137634,255.8652114,89.29589587,-22.00953571,7.719072395,171.5431821,49.19259188,52.58506112,5.064815333
Broulee - Tomakin,101041021,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1325.300956,178.3059918,38.4409911,-4.98617737,955.3502194,166.1999557,62.98501459,33.82448763,328.2747521,174.4506499,1.295676706,55.60205975,216.0236614,84.43367977,84.68385198,-3.282269007
Deua - Wadbilliga,101041022,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,947.0129702,109.1164891,50.22510319,-3.484697357,832.8560939,141.4567018,64.67622893,42.19420629,239.6621563,129.5697135,35.96963124,73.62449541,209.0755726,68.79085738,98.07447447,6.97251341
Eden,101041023,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1474.555219,212.4579057,33.84878998,-37.58631591,1267.671569,281.6885821,4.015478902,35.51478799,273.9590382,107.5284515,-25.00997322,-30.82384949,162.0587516,68.61606221,56.84999064,-7.242769003
Eurobodalla Hinterland,101041024,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1278.861931,151.8914289,46.1784288,-6.138956751,929.8974342,164.7103806,67.18373619,28.92473567,274.3059702,145.6025579,-6.423507457,27.13777348,206.428516,56.15485571,63.36572373,-9.253542869
Merimbula - Tura Beach,101041025,South Coast,10104,Capital Region,101,Rest of NSW,1RNSW,New South Wales,1,1465.183904,204.2629488,33.92136024,-37.5524764,1259.157244,247.7459997,7.144972099,39.32530127,251.408863,139.7216715,-22.98617705,-2.753246135,168.6237643,62.08525562,56.22558575,7.925810935
